id,id_cliente,id_vendedor,dte,total_dte,estado,descripcion
1,191,15,10001,650631,Entregado,"2x Disco Duro Externo 2TB, 3x Mouse Ergonómico Inalámbrico, 2x Silla de Escritorio Ergonómica, 1x Escáner de Documentos Portátil"
2,109,3,10004,903198,Entregado,"2x Escáner de Documentos Portátil, 1x Mouse Ergonómico Inalámbrico, 1x Auriculares con Micrófono USB, 2x Impresora Láser Multifuncional"
3,76,10,10007,231213,Entregado,"2x Escáner de Documentos Portátil, 2x Memoria RAM 16GB DDR4, 1x Mouse Ergonómico Inalámbrico, 3x Silla de Escritorio Ergonómica"
4,158,14,10009,752982,Sin entregar,"3x Licencia Software Antivirus 1 Año, 3x Laptop Corporate 14', 2x Monitor LED 24' Full HD"
5,132,6,10011,36388,Entregado,3x Mouse Ergonómico Inalámbrico
6,201,15,10014,706762,Entregado,1x Mouse Ergonómico Inalámbrico
7,200,12,10015,319835,Entregado,"3x Memoria RAM 16GB DDR4, 1x Escáner de Documentos Portátil, 3x Laptop Corporate 14'"
8,243,12,10017,306798,Entregado,"1x Silla de Escritorio Ergonómica, 3x Monitor LED 24' Full HD, 2x Escáner de Documentos Portátil"
9,81,9,10019,444584,Entregado,"3x Monitor LED 24' Full HD, 1x Laptop Corporate 14'"
10,133,13,10021,30402,Sin entregar,2x Impresora Láser Multifuncional
11,115,7,10024,145013,Entregado,"1x Hub USB-C 8 en 1, 1x Silla de Escritorio Ergonómica, 1x Teclado Mecánico RGB"
12,45,15,10026,176461,Entregado,2x Licencia Software Antivirus 1 Año
13,89,3,10029,168482,Entregado,"2x Impresora Láser Multifuncional, 3x Mouse Ergonómico Inalámbrico, 1x Licencia Software Antivirus 1 Año"
14,52,5,10030,820496,Entregado,"2x Silla de Escritorio Ergonómica, 3x Laptop Corporate 14'"
15,95,15,10033,796813,Entregado,"1x Escáner de Documentos Portátil, 2x Monitor LED 24' Full HD"
16,184,18,10035,913923,Entregado,"2x Memoria RAM 16GB DDR4, 3x Escáner de Documentos Portátil, 1x Monitor LED 24' Full HD, 2x Mouse Ergonómico Inalámbrico"
